essay|error|message|frase
0|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Nessas épocas, as pessoas também sofriam graves violações em suas vidas privadas por meio de tortura e constrangimentos, por exemplo, mas com a ascenção da democracia no ocidente , esses direitos foram amplamente protegidos por lei
1|xml:124|O adjetivo na função de predicativo concorda com o sujeito.| Então chega-se há outra questão pertinente à população: até que ponto são verídicas as alegações do hacker, sendo ele um criminoso ou não
1|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| Inegavelmente, o ato de hackear é crime, e o executor desse caso está pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justiça, para que não haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou não marqueteiro(s)  à trabalho para o atual Presidente da República, pois a justiça deve ter prioridade sobre qualquer direito individual
1|xml:1|Não ocorre crase antes de palavras masculinas.| Inegavelmente, o ato de hackear é crime, e o executor desse caso está pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justiça, para que não haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou não marqueteiro(s)  à trabalho para o atual Presidente da República, pois a justiça deve ter prioridade sobre qualquer direito individual
2|xml:117|Verificou-se erro de concordância entre o sujeito e o verbo.|O regime militar acabou, trazendo fim o instituto da censura, vivemos num país onde os meios de comunicação tem o direito de expressar livremente sem ter o consentimento das autoridades militares
2|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| No tempo da ditadura antes de ser colocado num jornal uma notícia, tinha que primeiro ser liberada pelas autoridades da época , viviam sob o jugo, com mordaças em suas bocas, e qualquer um que se opusesse ao sistema de governo, era perseguido duramente, a ponto de perderam suas vidas por defenderem qualquer ideal que fosse contrário ao sistema de governo da época, mas essa liberdade tão duramente alcançada a custo do derramamento do sangue de muitos brasileiros, não dever ser usada de maneira arbitrária a ponto de ferir a intimidade de qualquer cidadão; no dia 16 de agosto de 94, tivemos um grande exemplo mostrando que a liberdade de expressão tem seu limite,  a TV Globo teve que se retratar ao vivo perante todo o país, pois então o governador do Rio de Janeiro Leonel Brizola sentiu-se ofendido, requerendo assim os seus direitos, e por esses dias foi visto por todo o país o Jornal a Folha de S
2|space:EXTRA_BETWEEN_WORDS|Excesso de espaços entre as palavras.| No tempo da ditadura antes de ser colocado num jornal uma notícia, tinha que primeiro ser liberada pelas autoridades da época , viviam sob o jugo, com mordaças em suas bocas, e qualquer um que se opusesse ao sistema de governo, era perseguido duramente, a ponto de perderam suas vidas por defenderem qualquer ideal que fosse contrário ao sistema de governo da época, mas essa liberdade tão duramente alcançada a custo do derramamento do sangue de muitos brasileiros, não dever ser usada de maneira arbitrária a ponto de ferir a intimidade de qualquer cidadão; no dia 16 de agosto de 94, tivemos um grande exemplo mostrando que a liberdade de expressão tem seu limite,  a TV Globo teve que se retratar ao vivo perante todo o país, pois então o governador do Rio de Janeiro Leonel Brizola sentiu-se ofendido, requerendo assim os seus direitos, e por esses dias foi visto por todo o país o Jornal a Folha de S
2|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.| Paulo e o Globo recebendo uma liminar para retirar do ar textos publicados em seus sites na internet, referentes a primeira-dama Marcela , por sentir assim sua intimidade violada
2|xml:105|Os artigos concordam com o substantivo a que se referem.|Chega-se a conclusão que tem que haver uma harmonia entre a liberdade de expressão e a intimidade, para que se possa ter um país no qual a lei deva ser usada de maneira efetiva e trazer benefícios, em vez de confusão, não há de se falar em desrespeito ao liberdade de expressão, quando na verdade o objetivo da lei e trazer melhora, a Constituição não é uma ciência exata, mas para ser efetiva o equilíbrio é fundamental, liberdade com freio não é censura, mas sim harmonia
3|space:EXTRA_BEFORE_RIGHT_PUNCT|Excesso de espaço antes de símbolo.|"Sabe-se que o cidadão tem direito à privacidade, a ter sua intimidade preservada e àquele que ousar desrespeitá-la está sujeito à punição, e isso pode ser comprovado na Constituição, que diz o seguinte : ""São invioláveis a intimidade, a vida privada, a honra e a imagem das pessoas, assegurado o direito a indenização pelo dano material ou moral decorrente de sua violação"""
