,essay,error,message,frase
0,0,0,,"A liberdade de expressão, assim como o direito à intimidade são conquistas históricas."
1,0,0,,"Quando um entra em contato com o outro, é preciso pesar com bom senso os dois lados."
2,0,0,,"Em épocas de regimes autoritários como as ditaduras militares na América Latina e fascistas na Europa, a imprensa não tinha liberdade para veicular notícias diversas, esbarrando comumente na censura."
3,0,0,,"Nessas épocas, as pessoas também sofriam graves violações em suas vidas privadas por meio de tortura e constrangimentos, por exemplo, mas com a ascenção da democracia no ocidente , esses direitos foram amplamente protegidos por lei."
4,0,0,,"Porém, há casos em que essas garantias são postas em conflito, como em que figuras públicas, principalmente políticas, são pauta de notícias que esbarram em sua intimidade."
5,0,1,Comma separating Subject from predicate; ,"Assim, o alvo dessas matérias, pode requerer sigilo por se tratar da sua vida privada enquanto a imprensa vê cerceada sua liberdade de expressão."
6,0,0,,"Portanto, é preciso avaliar até onde o direito de expressão pode ser abusivo, lesar a honra do cidadão, e até mesmo causar transtornos psicológicos ao alvo das notícias."
7,0,0,,"Dessa forma, o bem estar do ser humano deve estar à frente da liberdade de expressão quando esta não for de suma necessidade ao conhecimento público."
8,1,1,Missing comma between the 'aposto'; ,"Os direitos fundamentais contidos na Constituição Federal não são absolutos, salvo algumas exceções conflitantes entre especialistas, o que abre margem para discussões em casos em que há convergência de direitos."
9,1,1,Missing comma between the 'aposto'; ,"Esse é o caso da decisão judiciária aplicada aos jornais para a remoção das publicações que fizeram sobre o caso de Marcela Temer e do hacker, cuja repercussão se estabeleceu no impasse sobre quais direitos teriam prioridade: liberdade de expressão ou inviolabilidade da intimidade."
10,1,1,Missing comma between the 'aposto'; ,"Em uma primeira análise a inviolabilidade da intimidade teria prioridade sobre a liberdade de expressão, pois as formas midiáticas, a atividade artística, a música, etc."
11,1,0,,"não necessitam de autorização para exercerem suas atividades, desde que não interfiram nos direitos de terceiros."
12,1,0,,"Entretanto, quem é contra a decisão judiciária afirma que a ordem se trata de uma forma de censura, pois as imagens divulgadas do caso foram retiradas do processo judiciário público – isto é, qualquer pessoa tem o direito de acessar – e abordam tema de interesse social."
13,1,0,,"Nessa disputa de censura ou violação da intimidade, observa-se que há interesse político, pois as informações atingem diretamente o atual presidente do Brasil, Michel Temer, o que prejudicaria sua reputação."
14,1,0,,"Então chega-se há outra questão pertinente à população: até que ponto são verídicas as alegações do hacker, sendo ele um criminoso ou não."
15,1,0,,"Afinal, os fragmentos de texto propagados na internet são dispersos e pouco se pode concluir, mas se há crime por de traz das ações do Presidente Temer, é necessário que haja investigação policial."
16,1,0,,"Por conseguinte, conclui-se que houve censura por parte da decisão para minimizar futuros constrangimentos a Temer."
17,1,1,Comma separating Subject from predicate; ,"Mas, sendo este uma figura pública, o caso diz respeito aos brasileiros, que não podem ser vendados diante dos diversos casos de corrupção envolvendo políticos."
18,1,0,,"Inegavelmente, o ato de hackear é crime, e o executor desse caso está pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justiça, para que não haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou não marqueteiro(s)  à trabalho para o atual Presidente da República, pois a justiça deve ter prioridade sobre qualquer direito individual."
19,2,1,Comma separating Subject from predicate; ,"Ao se falar em liberdade de expressão, é impossível esquecer que tem o cidadão também o direito a sua intimidade preservada, trazendo assim um certo conflito entre esses dois incisos os quais se encontram no inciso quinto da Constituição Federal."
