essay,error,message,category,frase
8,EASILY_CONFUSED_RARE_WORDS,‘Alem’ é uma forma do verbo ‘alar’. O advérbio escreve-se “além”.,MISSPELLING,"Alem disso as leis ajudam  á punir  esses abusadores que são chamados de ""hackers"" que invadem informações como  redes-sociais , bate-papos e contatos, expondo informações de total particularidade."
24,WRONG_REFLEXIVES,Verbos reflexivos na 1.a pessoa do plural omitem o ‘s’.,MISSPELLING,"Mas é certo que devemos-nos amar uns aos outros, e com isso fazer sacrifícios (preferindo sofrer a injustiça)."
35,LOWERCASE_RARE_WORDS_GEOGRAPHICAL,Se se refere ao nome geográfico escreva-o com maiúsculas.,MISSPELLING,"para se ter um Brasil melhor, é preciso que o governo e o povo andam andem juntos na mesma direção, em busca dos mesmos objetivos, mas primeiro fazer com tenhamos representantes melhores, e assim, o ""brasil"" que temos será Brasil."
74,WHATSAPP,Você quis dizer “WhatsApp”?,MISSPELLING,"Pode-se tomar como exemplo uma notícia veiculada pelo ""whats app"" de um projeto de lei que está prestes a ser aprovado pela da extinção do décimo terceiro salário do trabalhador."
78,FACEBOOK,Você quis dizer “Facebook”?,MISSPELLING,"Com diversas plataformas de opiniões: Blogs, facebook e youtube."
78,YOUTUBE,Você quis dizer “YouTube”?,MISSPELLING,"Com diversas plataformas de opiniões: Blogs, facebook e youtube."
82,MISPELLED_NAMES,Escreva “Warren Buffett” se se refere ao homem de negócios americano.,MISSPELLING,"Relativo às empresas o brasil tem como exemplos os donos da construtora Cyrela que se comprometeram a doar parte significante do patrimônio a filantropia, assim como já existem no mundo trabalhando nas causas sociais os bilionários Bill Gates e Warren Buffet."
106,MISSPELLED_COMPOUND_VERB,"Formas verbais terminadas em r, s, z, quando seguidas por pronomes átonos, devem ser adapatadas.",MISSPELLING,Criar projetos/palestras educacionais para incentivar-los.
126,PODERIAM-SE,Forma verbal não existente.,MISSPELLING,"Caso isso não seja feito a criança tornará-se uma pessoa com o ego inflado, achando-se superior às outras."
274,INTERNET_ABBREVIATIONS,Linguagem de Internet. Escreva por extenso.,MISSPELLING,"O desemprego cresce ao passo q a tecnologia evolui e é fácil culpar os ""homens de lata"" robôs pela falta de oportunidade no mercado de trabalho e deixar de observar que na atualidade não faltam empregos mas sim mão de obra qualificada."
944,OLD_SPELLING_U,O trema deixou de ser utilizado em Português com o Acordo de 1945.,MISSPELLING,"Para ter uma sólida carreira profissional é necessário ter uma “bagagem” de estudos, porém há casos em que nem foi preciso frequentar uma universidade para se tornarem milionários, por exemplo Silvio Santos, Gisele Bündchen e a maioria dos jogadores de futebol."
2106,IRREGULAR_FEMININE_FORMS,O feminino de leão é “leoa”.,MISSPELLING,Leona Helmsey cometeu alguns erros.
