essay,error,message,category,frase,comp1,url
1,CRASE_CONFUSION,Não se aplica a crase antes de um verbo.,GRAMMAR," Inegavelmente, o ato de hackear é crime, e o executor desse caso está pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justiça, para que não haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou não marqueteiro(s)  à trabalho para o atual Presidente da República, pois a justiça deve ter prioridade sobre qualquer direito individual",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
2,QUE_FORAM_FOI_SÃO_É_SENDO,"Em certos contextos, esta perífrase pode ser simplificada.",GRAMMAR," O verdadeiro intuito da promulgação de uma nova lei é trazer melhoras para o país, mas a Constituição Federal não é uma ciência exata, sendo assim sempre terá suas brechas",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-freio-na-liberdade-para-uma-maior-liberdade.htm
2,COLOCACAO_ADVERBIOS_LUGAR,O ritmo desta frase resultaria mais natural se colocar o advérbio depois do objeto.,GRAMMAR," No tempo da ditadura antes de ser colocado num jornal uma notícia, tinha que primeiro ser liberada pelas autoridades da época , viviam sob o jugo, com mordaças em suas bocas, e qualquer um que se opusesse ao sistema de governo, era perseguido duramente, a ponto de perderam suas vidas por defenderem qualquer ideal que fosse contrário ao sistema de governo da época, mas essa liberdade tão duramente alcançada a custo do derramamento do sangue de muitos brasileiros, não dever ser usada de maneira arbitrária a ponto de ferir a intimidade de qualquer cidadão; no dia 16 de agosto de 94, tivemos um grande exemplo mostrando que a liberdade de expressão tem seu limite,  a TV Globo teve que se retratar ao vivo perante todo o país, pois então o governador do Rio de Janeiro Leonel Brizola sentiu-se ofendido, requerendo assim os seus direitos, e por esses dias foi visto por todo o país o Jornal a Folha de S",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-freio-na-liberdade-para-uma-maior-liberdade.htm
2,GENERAL_GENDER_AGREEMENT_ERRORS,Possível erro de concordância de género.,GRAMMAR,"Chega-se a conclusão que tem que haver uma harmonia entre a liberdade de expressão e a intimidade, para que se possa ter um país no qual a lei deva ser usada de maneira efetiva e trazer benefícios, em vez de confusão, não há de se falar em desrespeito ao liberdade de expressão, quando na verdade o objetivo da lei e trazer melhora, a Constituição não é uma ciência exata, mas para ser efetiva o equilíbrio é fundamental, liberdade com freio não é censura, mas sim harmonia",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-freio-na-liberdade-para-uma-maior-liberdade.htm
3,VIR_A_VERBO_VERBO,"Em certos contextos, esta perífrase pode ser simplificada.",GRAMMAR,"Sendo assim, pode-se perceber que certas entidades articulam-se de meios ""lícitos"" para dissimular e manipular o povo, de modo que, estes, só venham a ter conhecimento daquilo que lhes é conveniente",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/privilegio-a-informacao.htm
11,GENERAL_NUMBER_AGREEMENT_ERRORS,Possível erro de concordância de número.,GRAMMAR,"  Desde o mais pobres aos mais ricos, todos estão sujeitos a serem expostos em capas de jornais, a constituição garante a liberdade de expressão e a não censura",1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/mais-clareza-por-favor.htm
13,IMPERSONAL_HAVER_PLURAL_NOUN,Auxiliares do verbo haver no sentido de existir são impessoais.,GRAMMAR,"Entretanto, muitos a criticaram em fato que poderiam haver coisas explicitas que muitos teriam duvidas sobre sua vida e de seu marido, para que, assim desvendasse aquilo que muitos almejam",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/direito-de-liberdade.htm
16,GENERAL_VERB_AGREEMENT_ERRORS,Possível erro de concordância verbal.,GRAMMAR," No entanto, sempre que for possível, a justiça deve prevalecer à liberdade de expressão sobre o direito à privacidade, pois o Brasil é um país democrático, onde todos os cidadãos tem direito de expor suas opiniões e também serem informados sem manipulações e censuras, para que assim a população tenha informações suficientes para tirarem suas próprias conclusões",1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/liberdade-com-responsabilidade.htm
19,CRASE_CONFUSION_2,Possível erro de crase.,GRAMMAR, Obtêm uma gama de acesso a informação e pelo mesmo trajeto atravessam as intimidades dos envolvidos,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/direito-de-imprensa.htm
19,CONJUNTIVO_OBRIGATORIO,Hipóteses introduzem o conjuntivo.,GRAMMAR,"Em vista disso, observa-se a blindagem do presidente da República, desconsiderando um direito da mídia de usufruir da liberdade, a fim dele ter vantagem no caso em questão, embora sendo um representante público",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/direito-de-imprensa.htm
22,INVARIABLE_NOUNS,Esta palavra costuma ser apenas referida no singular.,GRAMMAR," Sócrates disse também que o mais feliz é aquele que não tem maldade na alma, mas quem pagou por suas maldades pode ter uma vida feliz",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/maldade-na-alma.htm
26,ESTAR_CLARO_DE_QUE,Possível dequeísmo: “é certo que”.,GRAMMAR,"Em um mundo onde a prática da injustiça tem destaque desde os primórdios, é certo de que a realização ou vivência desse ato não é benéfico nem para o que comete e nem para o que sofre",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/ser-injusticado-a-melhor-forma-de-se-sobressair.htm
27,NON_IMPERSONAL_VERBS,Este não é um verbo impessoal.,GRAMMAR,"Sabe-se que a sociedade atual parece não existir pessoas que se importa com o próximo,  esquecendo-se que o seu direito termina quando o do outro começa, cada um busca o seu próprio interesse, sem pensar que muita das vezes está sendo injusto com o próximo",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/e-preferivel-sofrer-uma-injustica.htm
30,IRREGULAR_PAST_PARTICIPLES,Com o verbo ‘ser’ deve utilizar-se o particípio passado irregular.,GRAMMAR,"Há de se compreender que a injustiça praticada por pessoas com altas patentes na sociedade, causa complexibilidade em camadas inferiores da população a qual sofre injustiça e é oprimida ",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/justica-pratica-e-sofrencia.htm
