essay,error,message,category,frase,comp1,url
2,QUE_SUBJ_VS_INF_PESS,Esta perífrase pode ser simplificada.,MISC,"Chega-se a conclusão que tem que haver uma harmonia entre a liberdade de expressão e a intimidade, para que se possa ter um país no qual a lei deva ser usada de maneira efetiva e trazer benefícios, em vez de confusão, não há de se falar em desrespeito ao liberdade de expressão, quando na verdade o objetivo da lei e trazer melhora, a Constituição não é uma ciência exata, mas para ser efetiva o equilíbrio é fundamental, liberdade com freio não é censura, mas sim harmonia.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-freio-na-liberdade-para-uma-maior-liberdade.htm
5,VERB_QUE_É_VERB_SER,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"A liberdade de expressão é um direito expresso e garantido ao cidadão, entretanto, as diversas falhas presentes na constituição podem ocasionar conflitos acerca da sua aplicabilidade, uma vez que existem outros dispositivos legais – como a inviolabilidade da intimidade – que são direta ou indiretamente afetados, e por isso também precisam ser considerados na resolução do conflito.",1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/direitos-em-conflito.htm
17,AS_VEZES_BR,Substitua «as vezes» por “às vezes”.,MISC,"O bom senso é algo que perdemos nessa sociedade contemporânea e imediatista, tanto para um lado dos que veiculam a informação tanto para os que têm o poder de regular essas informações, as vezes causa-se um mal estar desnecessário de ambos os lados por não conhecerem seus limites e aí é um dever da justiça barrar.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/os-limites-da-informacao.htm
18,DENTRO_DE_DA_DAS_DO_DOS_EM_NA_NAS_NO_NOS,Substitua por “no”.,MISC,"Essa contradição de valores se conflitua simplesmente por serem muito soltas dentro do espaço constitucional, ou seja, não existem um ""teto"" para esses direitos conforme existem para tanto outros; liberdade religiosa, política que embora entendidas como ""liberdade"" são submetidos à certas restrições, pois a liberdade de um termina, quando se inicia a do outro o mesmo se aplica à inviolabilidade da vida privada, a menos que se tenha ""sujeira debaixo do tapete"".",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/direitos-em-conflitos.htm
27,ESQUECEU-SE_QUE,Substitua por “esquecendo-se de que”.,MISC,"Sabe-se que a sociedade atual parece não existir pessoas que se importa com o próximo,  esquecendo-se que o seu direito termina quando o do outro começa, cada um busca o seu próprio interesse, sem pensar que muita das vezes está sendo injusto com o próximo.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/e-preferivel-sofrer-uma-injustica.htm
30,QUE_É-SÃO_NC-ADJ_COMO-POR,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"Por outro lado, existem pessoas que são injustiçadas por conta do trabalho ou dentro da própria família por conta da escolha da homossexualidade ou por não estarem bem psicologicamente devido o afastamento de pessoas, acabando o individuo a se sentir injustiçado e sozinho, sem apoio familiar ou profissional ocorrendo assim o aumento do ódio por parte dos injustiçados e aumentando os tipos de intolerâncias .",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/justica-pratica-e-sofrencia.htm
37,DIFERENTES,Substitua por,MISC,"Temos que ser diferente e fazer a diferença, não necessariamente precisamos se calar diante certas situações, se estar ruim, temos que ao menos tentar mudar a situação e não praticar o mesmo.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/e-preferivel-praticar-ou-sofrer-uma-injustica.htm
49,SAO-E_PARA_SER-SEREM_PARTPASSADO,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"Atos de corrupção são um grande atraso na sociedade brasileira onde afeta todas as áreas institucionais, um fato que não era para ser encarado como normal acaba sendo por sua frequência e sua história carregada de corrupção além de uma punição efetiva, a conscientização da população é algo imprescindível, o fato de o brasileiro aprender a separar o profissional do pessoal onde dar um jeitinho para conhecidos não seja algo comum mas visto como ele é um ato de corrupção.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-corrupcao-na-sociedade.htm
64,NADA_HAVER_BR,Substitua «nada haver» por “nada a ver”.,MISC,Mas é essencial ter cuidado para que o desejo não seja maior que os fatos e a verdade; julgar somente com indícios não tem nada haver com justiça.,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/verdade-e-justica-somente.htm
69,E_QUE_VERBO_E_VERBO,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"Quando escutamos a palavra ""pós-verdade"", podemos entender que alguém ou algum meio está se beneficiando no direcionamento de opiniões em massaPessoas mal intencionadas e que conhecem os motivos que despertam ira em outras, usam esse conhecimento em seu benefício ao prometer coisas absurdas, onde essas em desespero, mesmo sabendo da polêmica em exageros, preferem acreditar.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/manipulacao-mundial-de-informacoes.htm
71,VERBO1_QUE_VERBO2_VERBO3_O_QUE,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"Portanto é preciso que os veículos que prestam informações apurem melhor antes de publicar uma notícia, principalmente as redes sociais, onde muitos acham que podem postar o que quiserem, mesmo que não seja verdade.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/os-males-da-falsa-informacao.htm
91,É_QUE_AS-OS_NC_É-SÃO,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"Conclusivamente, o que se percebe é que a filantropia é, sim, um exemplo a ser seguido, não somente sendo realizada com a doação de dinheiro, como também por meio de voluntariado, por exemplo.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/sacrificio-do-bem.htm
97,SER_CAPAZ_DE_CONSEGUIR,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"A péssima atitude de criticar a Filantropia se percebe no momento em que se analisa que o Estado não é capaz de cuidar de todos, deixando as pessoas bem sucedidas, financeiramente, ajudar as menos favorecidas.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/filantropia-ajudando-o-estado.htm
97,AO_MESMO_TEMPO-EM_SIMULTANEO,Substitua por “em simultâneo”.,MISC,"No Brasil, a Filantropia que é mais vista são dos programas de TV, eles usam essa atitude para conseguir mais audiência, tornando uma atitude feia e bonita ao mesmo tempo; Feia : por usar a boa ação como moeda de troca e Boa : por ser divulgada, assim, incentivando as pessoas a fazer o mesmo, e também existem vários Institutos e ONGS que ajudam as crianças de baixa renda a seguirem o caminho do esporte e dos estudos.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/filantropia-ajudando-o-estado.htm
104,A_NIVEL,Substitua por “ao nível”.,MISC,Para melhorar esses índices são necessárias muitas outras ações a nível social e educacional que acrescentem e não retirem nada do que já conquistamos.,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/educacao-notorio-saber.htm
117,O_QUANTO_ANTES_BR,Antes da locução adverbial quanto antes não se usa artigo definido o. Substitua «o quanto antes» por “quanto antes”.,MISC,A não obrigatoriedade dessas duas competências acabaria por levá-las à extinção a longo prazo visto que um aluno optará por deixar o recinto escolar o quanto antes puder.,1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/materias-fundamentais.htm
125,QUE_HÁ_QUE_NÃO_HÁ,"Em certos contextos, esta perífrase pode ser simplificada.",MISC,"Se compararmos em termos intelectuais a população mundial atual, com a de pessoas da idade média , veremos que há uma grande diferença de conhecimento.",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/geracoes-em-conflito.htm
159,MENAS_BR,O Advérbio “menos” não sofre alteração de gênero.,MISC,"Essa pratica nao exclusiva de países emergentes, também e vista em nações desenvolvidas, porém, com menas frequência já que os governantes cobram mais resultados na fiscalização, uma vez que essa prática interfêre diretamente no crescimento ecônomico e social do país.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/as-correntes-que-se-arrastam-pelos-seculos.htm
