essay,error,message,category,frase,comp1,url
1,SIMPLIFICAR_O_QUE_VERBO_VERBOGERUNDIO,Esta perífrase pode ser simplificada.,REDACTION_TIPS,"Os direitos fundamentais contidos na Constituição Federal não são absolutos, salvo algumas exceções conflitantes entre especialistas, o que abre margem para discussões em casos em que há convergência de direitos.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
1,SIMPLIFICAR_CONVERTER_PARA_VERBO_INFINITIVO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Inegavelmente, o ato de hackear é crime, e o executor desse caso está pagando sua pena, mas deveria ser aberto um novo processo – em segredo de justiça, para que não haja a inviolabilidade da imagem da pessoa – para descobrirem se existe ou não marqueteiro(s)  à trabalho para o atual Presidente da República, pois a justiça deve ter prioridade sobre qualquer direito individual.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
4,QUE_SER_ESTAR_PARTPASSADO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Antes de apontar quem estar certo, é preciso fazer uma breve analise do conteúdo que foi exposto, haja vista que os fatos eram de cunho pessoal, ou seja, sem importância para a sociedade.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/limites-entre-direitos.htm
15,ATRAVES_DE_POR,Pode simplificar a parafrase empregando: “por”.,REDACTION_TIPS,"Em segundo momento podemos salientar que ao contrário da intimidade, a liberdade de expressão pode ser mensurada através de exemplos práticos.",1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/o-direito-e-seu-fato-gerador.htm
17,QUE_ESTAR_CONTRACAO_PREPOSICAO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"O que se discute é o contexto como as coisas acontecem, aspectos de caráter privado que estão sob sigilo devem ser mantidos assim, e isso é inquestionável, imagina se conversas entre parentes, os problemas familiares, as conversas com psicólogos e tudo isso fosse divulgado nas redes sociais e nos diversos jornais, a vida privada acabaria e todas as pessoas seriam livros de capa aberta, por isso é importante ter limites as publicações .",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/os-limites-da-informacao.htm
20,SIMPLIFICAR_QUE_E_TEM_TÊM,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,Uma pessoa que tem virtudes acesas na personalidade seguiria o exemplo do filósofo por ter consciência de que a verdade sempre prevalece.,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/filosofia-de-socrates-e-sua-relacao-com-o-mundo-atual.htm
22,E_É_SÃO_FOI_FORAM_SENDO_SIDO,"Em certos contextos, esta perífrase pode ser simplificada.",REDACTION_TIPS,"Contudo, diante dos olhos da sociedade, quem comete a injustiça não será visto com bons olhos, sofrerá a reputação negativa e pode virar vítima da própria maldade, enquanto a vítima continua com sua moral e é valorizada em seu meio social.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/maldade-na-alma.htm
37,VER_OBSERVAR_CONSTATAR,"Num contexto formal ou académico, é preferível escrever ‘observar’ ou ‘constatar’.",REDACTION_TIPS,"Vivemos isso diariamente, chega a ser triste ver a quantidade de pessoas que passam fome no mundo, a saúde cada vez mais precária, nenhum investimento na educação.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/e-preferivel-praticar-ou-sofrer-uma-injustica.htm
119,SIMPLIFICAR_POIS_REMOVER,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"Conclui-se, portanto, que os pais devem sempre educar bem seus filhos e dar não muito mais que o necessário, pois eles podem entrar na Geração Eu e se tornarem dependentes.",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/geracao-dos-narcisos.htm
193,POR_ISSO_AÍ_ASSIM_DAÍ_ISSO,Esta perífrase poderá ser simplificada.,REDACTION_TIPS,"Por isso, ensinar as crianças que qualquer tipo de violência contra a mulher é crime, é um grande passo para diminuir, se não acabar de vez com a intolerância, desrespeito e machismo.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/estupro-monstruosidade-devastadora.htm
