essay,error,message,category,frase
32,PORTUGUESE_WRONG_WORD_IN_CONTEXT,"Considere “Entende”, i.e. exercer vigilância, em vez de ‘Entende’, i.e. compreender?",SEMANTICS,"Entende-se, portanto, que em um Estado Democrático de Direito, em caso de injustiças existe a possibilidade de reparação do dano pelo Poder Judiciário e instituições fortes e autônomas como: o Ministério Público, a Polícia Judiciária e a Defensoria Pública são engrenagens fundamentais para o bom funcionamento do sistema e para a manutenção da ordem social."
118,ROMAN_NUMBERS_CHECKER,Número romano inválido.,SEMANTICS,"Por isso que nosso corpo tem que estar em movimento seja pulando, correndo, andando nadando ou dançado , como vc preferir não importa o importante é estar saudável e sentir se bem então pense no bem estar que uma atividade física trás pra vc ."
439,DATE_RANGES_2,"A data inicial (6583) é posterior à segunda data (13). Se se referir a um século, não deve representar o período desta forma.",SEMANTICS,"O direito de união de casais do mesmo sexo vem sendo tratada de forma considerável, como mostra o Projeto de Lei 6583/13 – que dispõe sobre o Estatuto da Família e dá outras providências -, mostrando, através de uma enquete, que os participantes votaram a favor do projeto, dando para notar certa aprovação da opinião popular."
530,PORTUGUESE_WRONG_WORD_IN_CONTEXT,"Considere “intende”, i.e. exercer vigilância, em vez de ‘entende’, i.e. compreender?",SEMANTICS,"O Estado é a mãe, responsável por cuidar, e o filho é a população, quem é cuidado até uma certa parte, quando se torna independente e aí, já educado , entende os valores do Estado."
540,PORTUGUESE_WRONG_WORD_IN_CONTEXT,"Considere “intender”, i.e. exercer vigilância, em vez de ‘entender’, i.e. compreender?",SEMANTICS,"No entanto, é necessário entender que o Estado é o maior responsável pela manutenção dela pois, sem ele, ela seria muitas vezes confundida com libertinagem."
843,PORTUGUESE_WRONG_WORD_IN_CONTEXT,"Considere “paço”, i.e. tipo de palácio real ou episcocal, em vez de ‘passo’, i.e. movimento dos pés a andar; verbo passar?",SEMANTICS,Regulamentar seria um passo a mais no sentido de tornar os eventos culturais e esportivos acessíveis a toda a população sem deixar de conceder o benefício da meia-entrada para alguns.
1100,MONTH_REDUNDANCY,Nesta situação o mês é redundante.,SEMANTICS,"No período referente aos dias 13 de junho a 22 de junho de 2012 é uma data histórica , novamente, autoridades se reúnem para a discussão da Rio + 20, cujo objetivo era oficializar um documento com pautas discutidas e que fossem assinadas em prol do desenvolvimento sustentável, ou seja, a economia “verde”."
1403,PORTUGUESE_WRONG_WORD_IN_CONTEXT,"Considere “intendem”, i.e. exercer vigilância, em vez de ‘entendem’, i.e. compreender?",SEMANTICS,"Os pais são os grandes responsáveis pela alimentação de seus filhos, pois entendem dos seus gostos e podem procurar a fazer um cardápio variado, deixando alimentos com altos teores de sódio, açúcar e gorduras de lado e incrementando, mas alimentos saudáveis, sem duvida uma criança que passa a consumir e gostar de alimentos saudáveis terá menos chances e se tornar dependente desses alimentos porque ela conhece seus riscos."
1472,PORTUGUESE_WRONG_WORD_IN_CONTEXT,"Considere “paço”, i.e. tipo de palácio real ou episcocal, em vez de ‘passo’, i.e. movimento dos pés a andar; verbo passar?",SEMANTICS,"Apesar de muito tempo no sistema de inclusão, já podemos considerar um grande passo para a sociedade,  pois vemos através de reportagens, matérias o destaque de negros no esporte, como Edson do Nascimento, mais conhecido como Rei Pelé, a famosa atriz Taís Araújo, e atualmente o maior exemplo, Barack Obama, presidente dos Estados Unidos."
1511,PORTUGUESE_WRONG_WORD_IN_CONTEXT,"Considere “infringir”, i.e. transgredir, em vez de ‘infligir’, i.e. aplicar?",SEMANTICS,"Torna-se evidente, portanto, que deve haver uma reforma educacional na sociedade, é indispensável à punição de quem infligir  a lei."
1735,PORTUGUESE_WRONG_WORD_IN_CONTEXT,"Considere “intendido”, i.e. exercer vigilância, em vez de ‘entendido’, i.e. compreender?",SEMANTICS,"É importante ressaltar que o toque de recolher deve ser entendido como uma medida preventiva e não proibitiva, pois ele apenas não permite a permanência de jovens menores de idade, desacompanhados de responsáveis maiores de idade, após as vinte e três ."
