essay,error,message,category,frase,comp1,url
0,PT_WEASELWORD_REPLACE,"‘bom senso’ é uma expressão ambígua e evasiva. Reconsidere o seu uso, de acordo com o objetivo do seu texto.",STYLE,"Quando um entra em contato com o outro, é preciso pesar com bom senso os dois lados.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/conflito-entre-liberdade-de-expressao-e-intimidade-bom-senso-e-necessario.htm
1,PT_BARBARISMS_REPLACE,‘hacker’ é um estrangeirismo. É preferível dizer “pirata informático”,STYLE,"Esse é o caso da decisão judiciária aplicada aos jornais para a remoção das publicações que fizeram sobre o caso de Marcela Temer e do hacker, cuja repercussão se estabeleceu no impasse sobre quais direitos teriam prioridade: liberdade de expressão ou inviolabilidade da intimidade.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
49,GRAMMATICAL_DOUBLE_NEGATIVES,Esta situação requer a utilização de ‘ninguém’.,STYLE,"Atos de corrupção são um grande atraso na sociedade brasileira onde afeta todas as áreas institucionais, um fato que não era para ser encarado como normal acaba sendo por sua frequência e sua história carregada de corrupção além de uma punição efetiva, a conscientização da população é algo imprescindível, o fato de o brasileiro aprender a separar o profissional do pessoal onde dar um jeitinho para conhecidos não seja algo comum mas visto como ele é um ato de corrupção.",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/a-corrupcao-na-sociedade.htm
50,SENT_START_NUM,Números no início de frases devem ser escritos por extenso.,STYLE,", e que, portanto, merecem o devido respeito e observância para mantença da higidez de um povo.",1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/se-somos-todos-corruptos.htm
54,PT_BR_SIMPLE_REPLACE,"‘património’ é uma expressão de Portugal, em português do Brasil utiliza-se: “patrimônio”",STYLE,"Verifica-se que, por sermos uma nação captalista , há uma grande necessidade de sempre captarmos mais e mais bens materiais (dinheiro, património ).",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/pais-captalista-capitalista-nacao-corrupta.htm
57,PT_CLICHE_REPLACE,‘lugar ao sol’ é uma frase-feita. É preferível dizer “REFORMULAR”,STYLE,"Mesmo sendo um processo longo e continuo , para que sim busquem o seu lugar ao sol, mas não a qualquer custo.",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/corrompendo-e-sendo-corrompidos.htm
242,PORTUGUESE_WORD_REPEAT_BEGINNING_RULE,Três frases seguidas começam com a mesma palavra. Considere reformular a frase ou use um dicionário para encontrar um sinônimo.,STYLE,"Sem mais para o momento e enfatizando a importância da participação de todos, encerramos esta mensagem com as palavras do escritor Augusto Cury, que tão bem expressa o que desejam todos os que assinam esta carta-convite: ""Ser feliz não é ter uma vida perfeita. Mas usar as lágrimas para irrigar a tolerância. Usar as perdas para refinar a paciência. Usar as falhas para esculpir a serenidade. Usar a dor para lapidar o prazer. Usar os obstáculos para abrir as janelas da inteligência"".",2.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/nao-a-homofobia.htm
599,CERCA_DE_NR,"Se está a fazer uma aproximação, utilize números redondos",STYLE,"E no final cerca de 43,2 % da comunidade desliga a televisão no momento da transmissão, porque não tem a opção de mudar de canal e ou não querem assistir.",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/a-midia-nao-decide-o-futuro-do-pais.jhtm
909,PT_WORD_COHERENCY,Não deve utilizar formas distintas de palavras com dupla grafia no mesmo texto. Escolha entre ‘quatorze’ e ‘catorze’.,STYLE,O que se deve analisar é para quanto será essa redução;  quatorze ou dezesseis anos?,1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/maioridade-penal-uma-decisao-de-todos.jhtm
2148,DESLOCACAO_A_ESQUERDA,O constituinte a que ‘nem'/'até’ se refere é melhor posicionado logo após ele.,STYLE,"E nem precisa mostrar o rosto, falar o próprio nome, dizer onde mora.",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/ult4657u88.jhtm
