essay,error,message,category,frase,comp1,url
0,SPACE_BEFORE_PUNCTUATION,Remova o espaço antes deste sinal de pontuação.,TYPOGRAPHY," Nessas épocas, as pessoas também sofriam graves violações em suas vidas privadas por meio de tortura e constrangimentos, por exemplo, mas com a ascenção da democracia no ocidente , esses direitos foram amplamente protegidos por lei",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/conflito-entre-liberdade-de-expressao-e-intimidade-bom-senso-e-necessario.htm
1,DASH_RULE,"Se não pretende unir duas palavras, deve utilizar o travessão.",TYPOGRAPHY," Entretanto, quem é contra a decisão judiciária afirma que a ordem se trata de uma forma de censura, pois as imagens divulgadas do caso foram retiradas do processo judiciário público – isto é, qualquer pessoa tem o direito de acessar – e abordam tema de interesse social",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
1,WHITESPACE_RULE,Possível erro de escrita: você repetiu um espaço em branco,TYPOGRAPHY,"  Afinal, os fragmentos de texto propagados na internet são dispersos e pouco se pode concluir, mas se há crime por de traz das ações do Presidente Temer, é necessário que haja investigação policial",1.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/entre-direitos-individuais-e-escandalos-politicos.htm
11,SENTENCE_WHITESPACE,Adicionar um espaço entre as frases,TYPOGRAPHY, Mas será mesmo que isso ocorre sempre? Será que a lei é sempre aplicada igualmente em nosso país?Os jornais nos prestam relevantes serviços ao noticiar fatos que acontecem ao nosso redor,1.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/mais-clareza-por-favor.htm
13,COMMA_PARENTHESIS_WHITESPACE,"Insira um espaço depois da vírgula, mas não antes dela",TYPOGRAPHY," Contudo, o jornal quis aproveitar a situação e pegar carrona na noticia , mas não percebendo a desagradavel situação",0.0,https://educacao.uol.com.br/bancoderedacoes/redacoes/direito-de-liberdade.htm
36,PARENTESESE_AND_QUOTES_SPACING,Um dos espaços é desnecessário. Deve excluí-lo.,TYPOGRAPHY,"Aristóteles, um dos três grandes filósofos  Socráticos da Grécia Antiga, em seu livro, ""Ética a Nicômaco"",  disse;  "" O bom juiz é aquele que julga, honestamente, somente aquilo que  conheces """,0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/eu-juiz.htm
184,SEMICOLON_COLON_SPACING,Deve colocar um espaço após ‘:’.,TYPOGRAPHY,"Mas a Educação transformas pessoas costuma se dizer que:Pensamento gera ação, ação gera habito, habito gera caráter e caráter gera o seu destino",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/estupro-uma-mancha-na-alma-feminina.htm
272,UNPAIRED_BRACKET_SUGGESTIONS,Utilize uma aspa de fecho.,TYPOGRAPHY,"Muitos se fizeram a pergunta: ‘‘meu emprego está em risco por causa da tecnologia?’’ há muito tempo atrás com a invenção da máquina a vapor, mas o que ocorreu foi um grande avanço e criação de novos empregos diretos e indiretos logo após chegou a máquina a combustão e aconteceu o mesmo",0.5,https://educacao.uol.com.br/bancoderedacoes/redacoes/sem-titulo-093.htm
480,SI_UNITS_EXPONENT,Os expoentes devem estar em sobrescrito.,TYPOGRAPHY,000 km2,1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/o-espirito-da-abundancia.jhtm
575,CHEMICAL_FORMULAS_TYPOGRAPHY,Os números nas fórmulas químicas devem estar em subscrito.,TYPOGRAPHY, Diminuindo a emissão de CO2 ,0.0,http://educacao.uol.com.br/bancoderedacoes/redacao/ciclovias-urbanas.jhtm
714,PERCENT_WITHOUT_SPACE,Escreva a percentagem sem espaços (estilo padrão).,TYPOGRAPHY,"Nós últimos meses foi feito uma pesquisa, onde o índice de brasileiros que apoiavam a copa caiu de 80% para 52 %, ainda se tem maioria",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/sem-titulo-054.jhtm
775,NO_SPACE_CLOSING_QUOTE,Deve espaçar depois de fechar aspas.,TYPOGRAPHY,"Podemos perguntar a esses indivíduos que estão puramente movidos a ganhar dinheiro,  “Imagine se seus pais, irmãos ou até filhos tiverem que conviver todos os dias com um livro acusando familiares queridos por tempo indeterminado, ”Ha quem diga ah e o motivo informar o mundo sobre a história do seu povo, eu posso argumentar o seguinte: de quem estamos falando? De um politico famoso? De um idolo que mudou a história? De uma pessoa relevante a história do país? Pois bem, se estamos falando de tais pessoas, então que estas biografias sejam feitas postumas , para preservar seus familiares",0.0,http://educacao.uol.com.br/bancoderedacoes/redacao/biografias-personagens-e-autores-em-confronto.jhtm
822,DEGREE_SYMBOL,"Se está a indicar graus, utilize o símbolo “ °C”.",TYPOGRAPHY," Neste satélite, as temperaturas chegam cerca de 100 ºC durante o dia e -175 ºC a noite",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/medo-de-pisar-nao-andaras.jhtm
954,LOOSE_ACCENTS,Caratere incorreto. Utilize antes o apóstrofe ou reveja a acentuação.,TYPOGRAPHY," Sem ela o capitalismo não anda: esse mecanismo funciona da seguinte forma,  as pessoas são induzidas a comprar cada vez mais, para satisfazer seu falso desejo de felicidade; pois ´isso que faz o capitalismo: criar falsos desejos, fazendo você pensar que aquele determinado objeto seja necessário para sua felicidade, esse sentimento é momentâneo",1.0,http://educacao.uol.com.br/bancoderedacoes/redacao/a-engrenagem-do-capitalismo.jhtm
1178,UNITS_OF_MEASURE_SPACING,Deve dar um espaço entre o valor e a unidade de medida: “378 kg”,TYPOGRAPHY,"Como evidenciado pela pesquisa realizada pela Associação Brasileira de Empresas de Limpeza Publica e Residuos Especiais (ABRELPE), a produção de resíduos urbanos, em 2010, foi cerca de 6,8% superior se comparado ao ano de 2009, alcançando aproximadamente 61 milhões de toneladas de lixo produzido em apenas um ano, com uma produção média de 378kg de lixo por habitante no Brasil",1.5,http://educacao.uol.com.br/bancoderedacoes/redacao/o-monopolio-da-destruicao-monopolio-da-destruicao.jhtm
1357,ZERO_IN_DAYS_OF_THE_MONTH,A convenção padrão não utiliza o zero no dia do mês em datas escritas por extenso.,TYPOGRAPHY,"Inocentes mortos, pais desesperados, crianças feridas, fatos ocorridos no de 07 de abril de 2011, no Rio de Janeiro, por Wellington Menezes de Oliveira com uma calibre 38 contra os alunos da Escola Municipal Tasso da Silveira",0.5,http://educacao.uol.com.br/bancoderedacoes/redacao/faltou-titulo.jhtm
